RUN_DATE,STORE_ID,VENDOR_ID,SKU,DESCRIPTION,CATEGORY,VELOCITY_CLASS,DAILY_AVG_UNITS_SOLD,DAILY_SD_UNITS_SOLD,IS_ON_PROMO,PROMO_UPLIFT_FACTOR,DAILY_DEMAND,ORDER_CYCLE_DAYS,CYCLE_STOCK,VENDOR_LEAD_TIME_DAYS,DC_TRANSIT_DAYS,TOTAL_LEAD_TIME_DAYS,LEAD_TIME_DEMAND,STOCK_ON_HAND,STOCK_IN_TRANSIT,BALANCE_ON_HAND,Z_SCORE,SAFETY_STOCK,MAX_1,MAX_2_PRESENTATION,MAX_INVENTORY_TARGET,MIN_QTY,MAX_QTY,GAP_BEFORE_ROUNDING,ORDER_UNITS,ORDER_CASES,CASE_SIZE,DC_DEPARTURE_DATE,STORE_ARRIVAL_DATE
2025-06-16,STORE_006,VENDOR_A,SKU10003,Tomatoes On Vine,PRODUCE,HIGH,4.32,2.66,False,,4.32,7,30.2,5,3,8,34.6,57.0,0.0,57.0,1.96,13.8,44.0,15.0,44.0,,,21.6,30.0,2.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10004,Baby Carrots 2lb,PRODUCE,HIGH,3.09,2.35,False,,3.09,7,21.6,5,3,8,24.7,27.0,0.0,27.0,1.96,12.2,33.8,20.0,33.8,,,31.5,40.0,2.0,20,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10005,Strawberries 16oz,PRODUCE,LOW,1.66,1.5,True,1.5,2.49,7,17.4,5,3,8,19.9,17.0,16.0,33.0,,,,,,17.4,24.9,0.0,0.0,0.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10006,Seedless Grapes,PRODUCE,LOW,1.3,1.28,False,,1.3,7,9.1,5,3,8,10.4,24.0,0.0,24.0,,,,,,9.1,13.0,0.0,0.0,0.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10007,Bell Peppers 3pk,PRODUCE,HIGH,3.52,2.25,False,,3.52,7,24.6,5,3,8,28.1,41.0,20.0,61.0,1.96,11.7,36.3,15.0,36.3,,,3.4,15.0,1.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10008,White Bread,BAKERY,HIGH,5.05,3.23,False,,5.05,7,35.4,5,3,8,40.4,42.0,11.0,53.0,1.96,16.7,52.1,10.0,52.1,,,39.5,40.0,4.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10009,Wheat Bread,BAKERY,HIGH,3.2,2.11,False,,3.2,7,22.4,5,3,8,25.6,15.0,0.0,15.0,1.96,10.9,33.3,10.0,33.3,,,43.9,50.0,5.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10000,Bananas 1lb,PRODUCE,HIGH,5.23,3.52,False,,5.23,7,36.6,5,3,8,41.9,77.0,16.0,93.0,1.96,18.3,54.9,24.0,54.9,,,3.7,24.0,1.0,24,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10001,Red Apples 3lb,PRODUCE,HIGH,2.77,2.22,False,,2.77,7,19.4,5,3,8,22.1,53.0,31.0,84.0,1.96,11.5,30.9,18.0,30.9,,,0.0,0.0,0.0,18,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10002,Romaine Lettuce,PRODUCE,HIGH,2.48,2.07,True,1.4,3.48,7,24.3,5,3,8,27.8,39.0,0.0,39.0,1.96,10.7,35.1,12.0,35.1,,,23.9,24.0,2.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10003,Tomatoes On Vine,PRODUCE,HIGH,4.32,2.66,False,,4.32,7,30.2,5,3,8,34.6,57.0,0.0,57.0,1.96,13.8,44.0,15.0,44.0,,,21.6,30.0,2.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10004,Baby Carrots 2lb,PRODUCE,HIGH,3.09,2.35,False,,3.09,7,21.6,5,3,8,24.7,27.0,0.0,27.0,1.96,12.2,33.8,20.0,33.8,,,31.5,40.0,2.0,20,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10005,Strawberries 16oz,PRODUCE,LOW,1.66,1.5,True,1.5,2.49,7,17.4,5,3,8,19.9,17.0,16.0,33.0,,,,,,17.4,24.9,0.0,0.0,0.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10006,Seedless Grapes,PRODUCE,LOW,1.3,1.28,False,,1.3,7,9.1,5,3,8,10.4,24.0,0.0,24.0,,,,,,9.1,13.0,0.0,0.0,0.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10007,Bell Peppers 3pk,PRODUCE,HIGH,3.52,2.25,False,,3.52,7,24.6,5,3,8,28.1,41.0,20.0,61.0,1.96,11.7,36.3,15.0,36.3,,,3.4,15.0,1.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10008,White Bread,BAKERY,HIGH,5.05,3.23,False,,5.05,7,35.4,5,3,8,40.4,42.0,11.0,53.0,1.96,16.7,52.1,10.0,52.1,,,39.5,40.0,4.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10009,Wheat Bread,BAKERY,HIGH,3.2,2.11,False,,3.2,7,22.4,5,3,8,25.6,15.0,0.0,15.0,1.96,10.9,33.3,10.0,33.3,,,43.9,50.0,5.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_008,VENDOR_D,SKU40000,Frozen Peas 16oz,FROZEN,HIGH,4.73,2.13,False,,4.73,7,33.1,4,2,6,28.4,29.0,0.0,29.0,1.96,11.0,44.2,12.0,44.2,,,43.6,48.0,4.0,12,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40001,Ice Cream Vanilla,FROZEN,HIGH,8.62,3.27,True,1.55,13.37,7,93.6,4,2,6,80.2,21.0,0.0,21.0,1.96,16.9,110.5,6.0,110.5,,,169.7,174.0,29.0,6,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40002,Frozen Pizza,FROZEN,HIGH,6.91,3.2,False,,6.91,7,48.4,4,2,6,41.5,12.0,17.0,29.0,1.96,16.6,65.0,8.0,65.0,,,77.4,80.0,10.0,8,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40003,Chicken Nuggets,FROZEN,HIGH,4.59,2.56,False,,4.59,7,32.1,4,2,6,27.5,35.0,0.0,35.0,1.96,13.3,45.4,10.0,45.4,,,38.0,40.0,4.0,10,2025-06-21,2025-06-23
2025-06-16,STORE_009,VENDOR_B,SKU20000,Whole Milk Gallon,DAIRY,HIGH,3.8,2.06,False,,3.8,7,26.6,3,2,5,19.0,18.0,0.0,18.0,1.96,10.7,37.3,12.0,37.3,,,38.3,48.0,4.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20001,2% Milk Gallon,DAIRY,HIGH,5.25,3.3,False,,5.25,7,36.8,3,2,5,26.2,32.0,43.0,75.0,1.96,17.1,53.9,12.0,53.9,,,5.1,12.0,1.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20002,Greek Yogurt 32oz,DAIRY,HIGH,2.0,1.73,True,1.4,2.8,7,19.6,3,2,5,14.0,25.0,0.0,25.0,1.96,9.0,28.6,8.0,28.6,,,17.6,24.0,3.0,8,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20003,Butter Unsalted 1lb,DAIRY,LOW,1.61,1.4,False,,1.61,7,11.2,3,2,5,8.0,17.0,20.0,37.0,,,,,,11.2,16.1,0.0,0.0,0.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20004,Cheddar Cheese 8oz,DAIRY,HIGH,3.21,1.96,False,,3.21,7,22.5,3,2,5,16.1,19.0,3.0,22.0,1.96,10.2,32.7,12.0,32.7,,,26.7,36.0,3.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20005,Eggs Large Dozen,DAIRY,HIGH,6.73,3.27,False,,6.73,7,47.1,3,2,5,33.7,35.0,42.0,77.0,1.96,16.9,64.1,15.0,64.1,,,20.7,30.0,2.0,15,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20006,Sour Cream 16oz,DAIRY,LOW,1.52,1.36,False,,1.52,7,10.6,3,2,5,7.6,35.0,3.0,38.0,,,,,,10.6,15.2,0.0,0.0,0.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20007,Cream Cheese 8oz,DAIRY,HIGH,2.39,1.9,True,1.35,3.23,7,22.6,3,2,5,16.2,36.0,0.0,36.0,1.96,9.9,32.5,12.0,32.5,,,12.6,24.0,2.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_010,VENDOR_A,SKU10000,Bananas 1lb,PRODUCE,HIGH,13.68,4.69,False,,13.68,7,95.8,5,2,7,95.8,56.0,0.0,56.0,1.96,24.3,120.1,24.0,120.1,,,159.8,168.0,7.0,24,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10001,Red Apples 3lb,PRODUCE,HIGH,7.7,3.35,False,,7.7,7,53.9,5,2,7,53.9,25.0,0.0,25.0,1.96,17.4,71.2,18.0,71.2,,,100.1,108.0,6.0,18,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10002,Romaine Lettuce,PRODUCE,HIGH,5.86,2.42,True,1.4,8.2,7,57.4,5,2,7,57.4,34.0,0.0,34.0,1.96,12.6,70.0,12.0,70.0,,,93.4,96.0,8.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10003,Tomatoes On Vine,PRODUCE,HIGH,9.62,2.9,False,,9.62,7,67.4,5,2,7,67.4,44.0,0.0,44.0,1.96,15.0,82.4,15.0,82.4,,,105.8,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10004,Baby Carrots 2lb,PRODUCE,HIGH,6.11,2.31,False,,6.11,7,42.8,5,2,7,42.8,47.0,34.0,81.0,1.96,12.0,54.7,20.0,54.7,,,16.5,20.0,1.0,20,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10005,Strawberries 16oz,PRODUCE,HIGH,4.0,1.86,True,1.5,6.0,7,42.0,5,2,7,42.0,8.0,22.0,30.0,1.96,9.6,51.6,12.0,51.6,,,63.6,72.0,6.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10006,Seedless Grapes,PRODUCE,HIGH,3.02,2.02,False,,3.02,7,21.1,5,2,7,21.1,11.0,0.0,11.0,1.96,10.5,31.6,10.0,31.6,,,41.7,50.0,5.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10007,Bell Peppers 3pk,PRODUCE,HIGH,8.3,3.03,False,,8.3,7,58.1,5,2,7,58.1,20.0,0.0,20.0,1.96,15.7,73.9,15.0,73.9,,,112.0,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10008,White Bread,BAKERY,HIGH,10.09,3.41,False,,10.09,7,70.6,5,2,7,70.6,57.0,0.0,57.0,1.96,17.7,88.3,10.0,88.3,,,101.9,110.0,11.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10009,Wheat Bread,BAKERY,HIGH,7.66,2.91,False,,7.66,7,53.6,5,2,7,53.6,37.0,0.0,37.0,1.96,15.1,68.7,10.0,68.7,,,85.4,90.0,9.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10000,Bananas 1lb,PRODUCE,HIGH,13.68,4.69,False,,13.68,7,95.8,5,2,7,95.8,56.0,0.0,56.0,1.96,24.3,120.1,24.0,120.1,,,159.8,168.0,7.0,24,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10001,Red Apples 3lb,PRODUCE,HIGH,7.7,3.35,False,,7.7,7,53.9,5,2,7,53.9,25.0,0.0,25.0,1.96,17.4,71.2,18.0,71.2,,,100.1,108.0,6.0,18,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10002,Romaine Lettuce,PRODUCE,HIGH,5.86,2.42,True,1.4,8.2,7,57.4,5,2,7,57.4,34.0,0.0,34.0,1.96,12.6,70.0,12.0,70.0,,,93.4,96.0,8.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10003,Tomatoes On Vine,PRODUCE,HIGH,9.62,2.9,False,,9.62,7,67.4,5,2,7,67.4,44.0,0.0,44.0,1.96,15.0,82.4,15.0,82.4,,,105.8,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10004,Baby Carrots 2lb,PRODUCE,HIGH,6.11,2.31,False,,6.11,7,42.8,5,2,7,42.8,47.0,34.0,81.0,1.96,12.0,54.7,20.0,54.7,,,16.5,20.0,1.0,20,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10005,Strawberries 16oz,PRODUCE,HIGH,4.0,1.86,True,1.5,6.0,7,42.0,5,2,7,42.0,8.0,22.0,30.0,1.96,9.6,51.6,12.0,51.6,,,63.6,72.0,6.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10006,Seedless Grapes,PRODUCE,HIGH,3.02,2.02,False,,3.02,7,21.1,5,2,7,21.1,11.0,0.0,11.0,1.96,10.5,31.6,10.0,31.6,,,41.7,50.0,5.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10007,Bell Peppers 3pk,PRODUCE,HIGH,8.3,3.03,False,,8.3,7,58.1,5,2,7,58.1,20.0,0.0,20.0,1.96,15.7,73.9,15.0,73.9,,,112.0,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10008,White Bread,BAKERY,HIGH,10.09,3.41,False,,10.09,7,70.6,5,2,7,70.6,57.0,0.0,57.0,1.96,17.7,88.3,10.0,88.3,,,101.9,110.0,11.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10009,Wheat Bread,BAKERY,HIGH,7.66,2.91,False,,7.66,7,53.6,5,2,7,53.6,37.0,0.0,37.0,1.96,15.1,68.7,10.0,68.7,,,85.4,90.0,9.0,10,2025-06-22,2025-06-24
